Layer,Name,GEOID,Longitude,Latitude,HDX_2020-2024,HDX_2018-2022,HDX_2017-2021,HDX_2016-2020,HDX_2015-2019,HDX_2014-2018,HDX_2013-2017,HDX_2012-2016,HDX_2011-2015
,,,,,"Hardship Index (score), 2020-2024","Hardship Index (score), 2018-2022","Hardship Index (score), 2017-2021","Hardship Index (score), 2016-2020","Hardship Index (score), 2015-2019","Hardship Index (score), 2014-2018","Hardship Index (score), 2013-2017","Hardship Index (score), 2012-2016","Hardship Index (score), 2011-2015"
Community area,East Side,52,-87.53490700,41.70730600,83.90627290777324,78.42876566263587,80.73528381439267,81.30640795304637,84.75515182304663,86.86735589145138,88.87350215427398,85.04020653151795,87.15020936109615
Community area,West Pullman,53,-87.63574500,41.67382000,82.77724018348054,82.41669433772063,84.06329518655448,84.73139420903014,82.58626121756731,88.91287194087532,89.77685778976249,89.13497963748296,88.08267349604098
Community area,Riverdale,54,-87.60284900,41.66013700,99.34823816379951,98.5196099047946,97.70646872924766,97.69539429431904,98.57934041406372,98.9936796075928,99.41016493909024,99.4718404920947,99.2319887878991
Community area,Hegewisch,55,-87.55680300,41.66818800,68.39292712804114,68.86402479994979,67.19154635329093,69.01821062621693,61.69351050104545,62.426667572927336,57.212342404166655,48.18536931068924,51.97838375082951
Community area,Garfield Ridge,56,-87.76424600,41.79618500,51.65655041893365,49.704001984558516,55.40826792510604,57.04283404280302,59.956368744951085,52.584141264568295,54.1502267509788,55.93846607619656,58.007676926591564
Community area,Archer Heights,57,-87.72636500,41.81087300,87.43699612968422,88.20566821808166,85.96630085166686,85.93568623778856,84.77383277383281,86.37964880847015,85.68035320094813,83.6227968295622,80.44859844859845
Community area,Brighton Park,58,-87.69885900,41.81736400,84.52959529684746,86.44382067495692,88.85420075964576,90.61645941868339,89.24071358499508,91.76196474222506,92.26349284328215,92.21829939764815,92.64107718754032
Community area,McKinley Park,59,-87.67250000,41.82992700,68.18511447406017,70.06364818703565,70.39540713056472,70.73462760422811,77.56539471986733,81.74760732243087,83.55556101797403,83.72804299286535,85.52823487879735
Community area,Lake View,6,-87.65600100,41.94423600,4.649422723219442,5.162186408405164,4.929819654665238,4.534600622093762,3.76950203049797,2.672759794541301,2.3540974957188934,2.2361738746270277,4.01052418947581
Community area,Bridgeport,60,-87.64878400,41.83615100,58.874462108684924,57.60311916630866,58.53725449350261,61.88690393517322,60.317861553584656,63.61864819413066,64.8215285738708,65.29354356002052,66.78318444955335
Community area,New City,61,-87.65917100,41.80901700,86.88171534851527,88.85896170465105,89.80572027538513,90.12144382985062,84.03596372367352,90.6879451001206,91.97156697223028,93.75026094786824,90.65562130059169
Community area,West Elsdon,62,-87.72421300,41.79297700,77.06944013418908,81.56771499442809,80.31554671707482,81.39834878712131,79.73503620000001,80.79744366674149,78.66117611575078,83.1795119963906,85.3002872
Community area,Gage Park,63,-87.69643300,41.79542900,89.96970597028124,91.56970340478335,91.76643210107817,92.50183749634078,89.23122778105004,91.88783818457779,93.0225459170895,94.04283389063315,93.62400411603706
Community area,Clearing,64,-87.76851700,41.77958200,56.874334322023174,57.719299580402456,54.049575342493846,58.83788888545166,58.462050033867584,59.15919480848919,57.166820491956834,54.12424920541278,52.83268540463929
Community area,West Lawn,65,-87.72692700,41.76977400,83.82045609652131,85.95041721266976,83.28940298915715,84.86290058266997,79.67488229952919,84.30682309591069,85.48331616993514,84.02632872628269,78.50842053368213
Community area,Chicago Lawn,66,-87.69566700,41.77184900,87.55035998920116,90.82134372854341,90.53868672899038,90.59941336331359,91.76432953567048,91.991580014101,92.43680291954347,92.58611800019973,91.4847505152495
Community area,West Englewood,67,-87.66659800,41.77592600,91.89449168882683,92.79359661408927,93.46215351763949,94.28668256263443,95.3436795425522,95.8102485678762,95.29504170529475,95.18974819369222,94.77726351347967
Community area,Englewood,68,-87.64250200,41.77720100,93.08914302542058,92.11219056272239,93.3908765402264,95.51577148354343,94.97714467714468,96.03080823965013,97.54876665795209,97.17294451482854,96.64893744893745
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100,87.60751709176671,86.85613270913149,86.70320539686399,87.7073561776029,89.4209471094711,88.02671745224806,87.54723712089896,88.36572605606776,88.66132281322815
Community area,Lincoln Park,7,-87.64949100,41.92269600,2.4769638144132857,2.8994864079534506,2.4575245996449917,2.022035776641032,1.6111132333779001,1.8371034772941157,2.3704037060959706,2.331369515343504,3.595386003106064
Community area,Ashburn,70,-87.70836300,41.74575600,72.40126365087322,74.39122670076186,77.25067482864286,71.96021376690823,71.31324094426456,67.20572124618211,67.10314529972497,64.30702454895456,63.317357751301536
Community area,Auburn Gresham,71,-87.65630500,41.74420300,88.92902119240028,87.82660909863367,86.9445271617084,84.5520055273147,83.6347296,84.95935559637093,85.234368324966,84.60847783431787,85.4593766
Community area,Beverly,72,-87.67507200,41.71314800,32.22261182162868,22.932372245277094,25.5234086048843,19.324306135674124,14.153219204726481,14.310958853959711,16.78698001623879,14.923076394173693,16.367282443801543
Community area,Washington Heights,73,-87.64889700,41.71749500,70.85325518988292,69.53923240350026,75.1136622352645,76.02691373381207,77.02780508927127,77.16247569850593,75.79597604382043,73.53609033754964,69.9949987299822
Community area,Mount Greenwood,74,-87.71318900,41.69487600,26.431421481824234,29.522900650758842,27.05408819843974,23.27295565052219,19.40817103890766,16.59067963596954,15.353417219495954,18.114876469392275,26.35477633119763
Community area,Morgan Park,75,-87.66906200,41.68972900,60.570537494957776,55.9186749318329,53.0092507459242,51.42431746421132,53.120251381005524,56.11922294136338,55.92895644620679,55.26512227579755,53.940464961859846
Community area,O'Hare,76,-87.89369900,41.97569600,38.69296294310124,36.54674360595501,43.348396279409464,37.35548107623876,58.91886949983826,48.634776633922996,48.82459199837751,49.412753209026015,60.42395657571492
Community area,Edgewater,77,-87.66341900,41.98671900,40.406504991495645,39.23171164103177,34.89599105524896,35.997212357874986,26.803563596436398,36.000598114119654,34.11840572059766,34.91738196478729,31.441967158032835
Community area,Near North Side,8,-87.63331800,41.89961100,3.402424707356466,3.453358557288424,3.5249016006161904,3.5257464294584655,3.9200019,5.471802537540513,6.851951154599825,7.337323601777133,8.996389599999995
Community area,Edison Park,9,-87.81378000,42.00762700,12.132440388663511,12.394483908517087,6.984633719012888,4.282178013063771,6.406122008148277,5.115189597417189,6.722588405105611,6.173333995370961,9.899157471354027
